DEBUG: General     , 1772727682075> LoggerManager.init                  > Initializing...
LOG  : General     , 1772727682306> unknown option "-Djava.class.path=/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/:/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/uncommons-maths-1.2.3.jar:/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/lwjgl-glfw.jar:/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/jaxb-runtime.jar:/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/jaxb-api.jar:/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/lwjgl-natives-macos.jar:/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/lwjgl-jemalloc-natives-macos.jar:/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/lwjgl-jemalloc.jar:/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/lwjgl.jar:/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/sqlite-jdbc-3.27.2.1.jar:/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/lwjgl-opengl-natives-macos.jar:/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/istack-commons-runtime.jar:/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/javacord-2.0.17-shaded.jar:/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/commons-compress-1.18.jar:/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/lwjgl_util.jar:/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/lwjgl-opengl.jar:/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/lwjgl-glfw-natives-macos.jar:/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/jassimp.jar:/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/javax.activation-api.jar:/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/trove-3.0.3.jar"
LOG  : General     , 1772727682307> unknown option "-Djava.library.path=/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/MacOS"
LOG  : General     , 1772727682307> unknown option "-Duser.dir=/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java"
LOG  : General     , 1772727682307> unknown option "-DLibraryDirectory=/Users/zhangyuhao/Library"
LOG  : General     , 1772727682307> unknown option "-DDocumentsDirectory=/Users/zhangyuhao/Documents"
LOG  : General     , 1772727682307> unknown option "-DApplicationSupportDirectory=/Users/zhangyuhao/Library/Application Support"
LOG  : General     , 1772727682307> unknown option "-DCachesDirectory=/Users/zhangyuhao/Library/Caches"
LOG  : General     , 1772727682307> unknown option "-DSandboxEnabled=true"
LOG  : General     , 1772727682308> unknown option "-Djava.awt.headless=true"
LOG  : General     , 1772727682308> unknown option "-XstartOnFirstThread"
